ABBC~USD,91.66850000000001
ADA~BTC,58.90675
ADA~ETH,58.90675
ADA~EUR,58.90675
ADA~USD,58.90675
AEDFXA0M6V00,47.14325
AEDFXA1EN018,47.14325
AGP8696W1045,73.811
AN8068571086,75.00150000000001
AT000000STR1,42.07325
AT00000AMAG3,42.07325
AT00000BENE6,42.07325
AT00000FACC2,42.07325
AT00000VIE62,42.07325
AT0000340500,42.07325
AT0000454202,42.07325
AT0000455290,42.07325
AT0000481189,42.07325
AT0000481197,42.07325
AT0000481205,42.07325
AT0000489034,42.07325
AT0000489380,42.07325
AT0000497409,42.07325
AT0000606306,42.07325
AT0000609607,42.07325
AT0000612692,42.07325
AT0000613005,42.07325
AT0000617907,42.07325
AT0000622618,42.07325
AT0000624705,42.07325
AT0000625108,42.07325
AT0000634365,42.07325
AT0000634704,42.07325
AT0000634720,42.07325
AT0000634738,42.07325
AT0000637483,42.07325
AT0000640552,42.07325
AT0000641352,42.07325
AT0000644505,42.07325
AT0000645403,42.07325
AT0000652011,42.07325
AT0000652250,42.07325
AT0000653670,42.07325
AT0000654652,42.07325
AT0000662275,42.07325
AT0000668272,42.07325
AT0000672258,42.07325
AT0000672266,42.07325
AT0000676903,42.07325
AT0000685227,42.07325
AT0000686084,42.07325
AT0000697750,42.07325
AT0000701156,42.07325
AT0000703327,42.07325
AT0000704333,42.07325
AT0000707575,42.07325
AT0000707682,42.07325
AT0000712716,42.07325
AT0000718580,42.07325
AT0000718598,42.07325
AT0000719695,42.07325
AT0000720008,42.07325
AT0000721436,42.07325
AT0000722640,42.07325
AT0000722673,42.07325
AT0000726435,9.145
AT0000726443,9.145
AT0000726450,9.145
AT0000726476,9.145
AT0000730007,42.07325
AT0000737705,42.07325
AT0000741053,42.07325
AT0000741301,42.07325
AT0000743059,42.07325
AT0000745856,42.07325
AT0000746409,42.07325
AT0000746748,42.07325
AT0000746755,42.07325
AT0000746763,42.07325
AT0000747100,42.07325
AT0000747555,42.07325
AT0000753512,42.07325
AT0000754692,42.07325
AT0000758305,42.07325
AT0000765128,42.07325
AT0000765136,42.07325
AT0000767306,42.07325
AT0000767736,42.07325
AT0000776307,42.07325
AT0000785241,42.07325
AT0000785407,42.07325
AT0000785555,42.07325
AT0000797303,42.07325
AT0000799846,42.07325
AT0000800800,42.07325
AT0000802079,9.145
AT0000805080,42.07325
AT0000805445,42.07325
AT0000805460,42.07325
AT0000808209,42.07325
AT0000809447,42.07325
AT0000810528,42.07325
AT0000810536,42.07325
AT0000811237,42.07325
AT0000812854,42.07325
AT0000812870,42.07325
AT0000814991,42.07325
AT0000815402,42.07325
AT0000818000,42.07325
AT0000818802,42.07325
AT0000820378,42.07325
AT0000820386,42.07325
AT0000820394,42.07325
AT0000820402,42.07325
AT0000820477,42.07325
AT0000820550,42.07325
AT0000821103,42.07325
AT0000825393,42.07325
AT0000827209,42.07325
AT0000831425,42.07325
AT0000831706,42.07325
AT0000834007,42.07325
AT0000837307,42.07325
AT0000855838,42.07325
AT0000857750,42.07325
AT0000858964,42.07325
AT0000859293,42.07325
AT0000859517,42.07325
AT0000859525,42.07325
AT0000908504,42.07325
AT0000908603,42.07325
AT0000913926,42.07325
AT0000913942,42.07325
